film,user,star,time,content
真实的谎言,M,还行,2005-07-07,我諗左好耐點樣放隻馬0係架lift入面
真实的谎言,小Q,推荐,2010-02-01,屌丝小学看的第一部入门欧美动作片啊。。。。
真实的谎言,流空破刃,推荐,2010-10-24,作为一部各种要素都有的老派动作片，看在今年敢死队的份上我……还是打四星吧
真实的谎言,没头脑又不高兴,推荐,2008-06-08,阿诺 票房第2的片子
真实的谎言,Serena 1.0,还行,2011-03-24,典型好莱坞风格。现在的大片仍然遵循这种模式。和成龙的英雄片不同，西片配角起了很大的娱乐作用。忘记第一次什么时候看了，应该有10年了。还记得harry整他老婆跳钢管舞，然后用玫瑰弄她那段！man就是无话好说。其实她老婆外遇那段情节有点凑巧，不过挺搞笑的。阿诺没表情就是最酷的表情！
真实的谎言,CCC,推荐,2010-09-03,每一个家庭主妇身体里都住着一个特工……
真实的谎言,Jeanine,力荐,2010-01-03,依稀记得是这个时候，中国大陆开始大批量引进美帝的DVD了？
真实的谎言,Iris,力荐,2010-02-10,重温。童年记忆。典型的好莱坞动作大片，酣畅淋漓。
真实的谎言,陈小点,力荐,2012-07-30,大片啊……肌肉好性感……看完才知道男主角是大名鼎鼎的施瓦辛格……总算知道施瓦辛格为什么这么红啦~~~虽然是老片，但是也是各种大手笔~比现在动不动就说上亿投资的国产大片流弊多了~经典老片！！！而且还是两个小时的超级分量！唯一不好的就是中文配音太倒胃口了~
真实的谎言,小有™,力荐,2006-03-25,片子的经典自然不用多说，光看导演就知道影片的水准。该片的导演詹姆斯·卡梅伦还拍过《终结者1、2》、《泰坦尼克》。
真实的谎言,Ivan,推荐,2007-06-12,[中学] 所谓的大片样板戏
真实的谎言,梦里诗书,推荐,2016-06-12,詹姆斯·卡梅隆与阿诺·施瓦辛格，好莱坞大导和动作巨星的强强联合，火爆惊险的动作戏码，燃情热血的剧情，捧腹的美式幽默，使电影近乎从头至尾维系了出色的节奏把控，《真实的谎言》成为了一部影史并不会随时间磨灭的经典大片。
金枝玉叶,塔拉胡,推荐,2019-04-01,明星常有，传奇难再。“这一生，也在进取，这分钟，却挂念谁……”歌声响起，心折千千万万遍。
金枝玉叶,Woicon,推荐,2012-08-09,没我想象中好看。不过哥哥那一首追，杀伤力太大了。3.5
金枝玉叶,豆丁,力荐,2013-08-22,小时候看那么多港片居然遗漏了这部，现在看依旧那么好看
金枝玉叶,兀,2014-01-31,2014-01-31,男的也好，女的也好，我只中意你。
金枝玉叶,小军师,推荐,2013-03-30,三人在这戏里的演技都很赞。最出彩的两处，一处是哥哥一边弹钢琴一边唱歌，一处是阿颖穿着白裙以真正身份去追寻所爱
