,film,user,star,time,content
1133,侏罗纪公园2：失落的世界,趣多多配红茶,还行,2017-08-02,果然2没有1好看
1134,侏罗纪公园2：失落的世界,牵不到的爱,还行,2017-08-02,和第一部相比，还是差点意思的
1135,侏罗纪公园2：失落的世界,辉盾与黑刃,较差,2015-07-11,真的烂到爆…前半段完全照搬第一部，偏偏又和第一部的衔接生硬无比，角色上要讨人厌得可以，尤其是那个女儿，本来就招人烦，还套个单杠达人的设定，居然踢爆一只迅猛龙，看得我下巴都掉下来了，那个前女友也JB烦，没事的时候爱作死，一出事就只会尖叫…后半部莫名其妙变成了哥斯拉的模式，还死了一条狗
1136,侏罗纪公园2：失落的世界,fox的summer,力荐,2017-08-02,好看！！
1137,侏罗纪公园2：失落的世界,天地一沙鸥,还行,2017-08-02,特效比上一部好点，但是剧情比不过！
1138,侏罗纪公园2：失落的世界,同志亦凡人中文站,推荐,2012-07-20,自然和人性在斯皮尔伯格眼里永远是对立的么
1139,侏罗纪公园2：失落的世界,托尼·王大拿,还行,2018-05-23,故事写的太小儿科，虽然不是黑白分明但也是相当二元化了，思辨性远不及第一部；不过史匹堡磨戏肉的能力确实强，以悬崖坠车为代表、霸王龙一出现就是精彩绝伦。
1140,鹿鼎记2：神龙教,垃圾桶,推荐,2012-06-16,小时候看的电影里最喜欢的之一，特别是林青霞，多少幻想在里面- -
1141,鹿鼎记2：神龙教,梦幻小飞侠,推荐,2010-02-01,林青霞竟然也演韦小宝的老婆，这阵容真的是金牌了～～～
1142,鹿鼎记2：神龙教,斯齊佐飛力尼克,推荐,2010-05-06,星爷去扶林青霞那段笑死人
1143,鹿鼎记2：神龙教,鉛筆04,推荐,2008-10-08,谁都看过，笑的不行啊。
1144,鹿鼎记2：神龙教,人民私仆凹凸曼,推荐,2012-03-02,李青霞，给星必须的
1145,鹿鼎记2：神龙教,谢家宝树,还行,2009-06-02,- - 我现在一看到周星驰就想到隆昌路。
1146,鹿鼎记2：神龙教,七先生™,推荐,2008-04-09,“反清复明 反清复明...”  谁这么有种？！
1147,鹿鼎记2：神龙教,TheFlash振魏泽,还行,2013-07-12,跟我一样目不转睛的盯着林青霞而忽略了所有的笑点请举手。
1148,鹿鼎记2：神龙教,不知叫逗拌还是痘办,还行,2020-05-09,青霞姐这发型，身高直冲1米9。  喜欢算计吴三桂那一段，展现了韦小宝的城府和手段。建宁公主也显示了狠辣的一面。  至于得授武功则很没劲。并不想看他神功盖世打的对手哇哇叫，还是靠小聪明打倒对手更有趣些。
1149,鹿鼎记2：神龙教,挑灯夜看,推荐,2012-08-25,邱淑贞李嘉欣+1，林青霞92年就开始显老了？
1150,鹿鼎记2：神龙教,Wornsknsk,推荐,2011-04-03,星爷的电影 永恒经典
1151,鹿鼎记2：神龙教,ab,推荐,2011-10-08,周星驰早年作品强多了
1152,鹿鼎记2：神龙教,裸奔的芒果,推荐,2016-11-23,竟然比第一部更精彩了。演员阵容超强，林青霞和李嘉欣的加盟再度扩充了本片的美女，邱淑贞更是萌到不行了，陈德容没什么存在感，几乎成为周星驰当年的经典风流系列。剧情上增加了不少动作打戏，拌着各种夸张荤段子的无厘头笑料依然能轻易戳中观众的G点，王晶的想象力在本阶段几乎呈井喷式的爆发。
1153,鹿鼎记2：神龙教,好似匹脱肛野马,还行,2012-11-05,另类致敬电影。失之粗俗。
1154,鹿鼎记2：神龙教,Dark Archon,推荐,2015-01-07,变武侠片了 影视帝国(cnxp.co).鹿鼎记II：神龙教(粤语).Royal.Tramp.2.1992.720p.BluRay.rmvb 1.24G
1155,鹿鼎记2：神龙教,刘虫虫,还行,2011-11-14,其实个人觉得鹿鼎记没那么适合搞笑
1156,鹿鼎记2：神龙教,蔷薇泡沫,还行,2020-04-12,-唔通佢好风流潇洒，你俾佢嘅俊俏所迷？-当然唔系。呢个人貌丑如猪，卑鄙如狗，系一个油嘴滑舌嘅坏蛋！-咁你都会输俾佢？呢啲就系命。/ 叛国贼韦小宝(Wilson Bond)经已俾朕亲手揸死。尸首弃尸荒野，党羽逃去无踪。世上唔会再有韦小宝呢个人。
1157,鹿鼎记2：神龙教,爱在午夜降临前,还行,2011-08-24,星爷把韦小宝演成了淫贼，还是张卫健版的韦小宝传奇有血有肉，有情有义。
1158,鹿鼎记2：神龙教,WHO,力荐,2008-03-29,邱淑贞你永远这么好看
1159,鹿鼎记2：神龙教,麦小白,还行,2008-03-31,动作超越笑点。
1160,鹿鼎记2：神龙教,流深,推荐,2009-12-14,应该是我看的她的第二部电影吧。
1161,鹿鼎记2：神龙教,[已注销],推荐,2008-10-31,话说这个看的更晚
1162,鹿鼎记2：神龙教,Scorpion,推荐,2014-03-12,韦小宝所有老婆里，这个版本绝对是质量最高的，林青霞 李嘉欣 邱淑贞
1163,鹿鼎记2：神龙教,大智若鱼,还行,2010-09-24,某个耗在邻居家里的下午。
1164,鹿鼎记2：神龙教,国产盘丝大仙,推荐,2010-10-10,六合童子吃屎= =
1165,鹿鼎记2：神龙教,恰生活，如谎言,力荐,2008-11-21,这是我儿时最喜欢的电影，每次都想再看一片。都还怀着最初的温馨来看。  喜欢的没道理。
1166,鹿鼎记2：神龙教,伊丽莎白·素贞,力荐,2010-05-21,陈百祥的出彩，虎头帽美。
1167,鹿鼎记2：神龙教,XH,推荐,2009-08-05,这种事和你们出家人讲不清楚。。。哇哈哈
1168,鹿鼎记2：神龙教,有心打扰,推荐,2012-04-13,好笑，好笑，很好笑。
1169,鹿鼎记2：神龙教,哎呀,推荐,2008-12-18,昨晚第N次复习。  原来恶搞也是一种致敬。  怀念当年的周星星。
1170,鹿鼎记2：神龙教,张苑希,还行,2016-06-05,当年的恶搞系列武侠片，女神不要钱系列。
1171,鹿鼎记2：神龙教,星易呈,力荐,2019-12-06,韦小宝（周星驰 饰）要护送建宁公主（邱淑贞 饰）嫁到云南，在途中遇到了独臂神尼的刺杀。小宝被抓走后，借口拜神尼为师，其实是想追求其徒弟阿珂（李嘉欣 饰）。不料韦小宝被神龙教圣女龙儿（林青霞 饰）抓走，想要报了之前在王宫里埋下的仇恨，却没想到遭到了平西王的陷害。韦小宝极力相救，龙儿以身相许更把绝世武功传于韦小宝。韦小宝与公主之间的事情被平西王发现了，平西王更提前造反，小宝将贪图富贵的冯锡范骗到东郊皇陵，没想大那里竟然饰大清龙脉
1172,鹿鼎记2：神龙教,fire,还行,2015-10-18,鹿鼎记这两部制作精良，但是剧情啥的略差。对我来说看看林青霞
1173,鹿鼎记2：神龙教,我不是柏柏人,暂未评价,2010-01-20,其实星爷都同好多著名演员合作过
1174,鹿鼎记2：神龙教,小姜,还行,2012-05-12,美女如云，个人觉得林青霞扮演的神龙教主龙儿最有味道。
1175,鹿鼎记2：神龙教,奶奶的熊,推荐,2012-08-27,第1600部献给周星星，他是豆瓣被标记最多的影人。
1176,鹿鼎记2：神龙教,DrSheldor,推荐,2010-12-19,这是我印象中林青霞唯一一部喜剧
1177,鹿鼎记2：神龙教,叩歌,还行,2016-06-22,1、王晶的改编确实挺适合快销的，完整性高，能自圆其说；2、虽说改得韦小宝老婆少了两个，但林青霞已足够艳压群芳；3、像交欢后把武功的十分之八传给男方这种设定，明显是加快剧情，因为原著中的韦小宝从来不需要用武功。
1178,鹿鼎记2：神龙教,听琴思凡,力荐,2010-10-09,周星驰是世界上最适合演韦小宝的人。。。。。无法超越的经典。。
1179,鹿鼎记2：神龙教,blues,力荐,2010-03-08,觉得周星驰演的韦小宝最得神
1180,鹿鼎记2：神龙教,jazzpatpat,力荐,2011-02-21,是中国人就一定看过。
1181,鹿鼎记2：神龙教,Kevil.Diab,推荐,2010-11-04,估计是为了强行凑结局吧，感觉好乱哦...
1182,鹿鼎记2：神龙教,斩杀,推荐,2015-11-29,我超喜欢这部里面的美女们，美得那叫姹紫嫣红。
1183,鹿鼎记2：神龙教,celestebook,力荐,2011-06-05,很多男人的梦想就是有人一边给他剥葡萄一边给他摇扇子
1184,鹿鼎记2：神龙教,的云,推荐,2010-01-10,王晶领着周星驰成就了一个同样几乎不可超越的韦小宝。
1185,鹿鼎记2：神龙教,灰色堡垒,推荐,2018-02-22,7.6，王晶不愧是个精明的商人，这里面有一切观众想要看到的元素，还致（chao）敬（xi）了《笑傲江湖之东方不败》。而且，以前香港电影的美术和武打设计真是漂亮啊。P.S.两部《鹿鼎记》的上映时间只隔不到两个月，如果不是套拍的话，这个效率也太可怕了……
1186,鹿鼎记2：神龙教,Anondot,推荐,2014-05-16,和寻秦记结尾是一样一样儿的，到底是黄易抄了金庸还是英雄所见略同？
1187,鹿鼎记2：神龙教,Vin,力荐,2008-06-17,呼拉圈都可以拿来杀人?!
1188,鹿鼎记2：神龙教,ah1,推荐,2008-10-20,"对你的敬仰有如滔滔江水,连绵不绝"
1189,鹿鼎记2：神龙教,妖子_,还行,2011-01-12,反正还是去养眼的…林青霞双颊绯红含羞靠向星爷的时候…卧槽恶搞东方不败还是算了，看得有点反胃=_=
1190,鹿鼎记2：神龙教,Simple森,还行,2018-08-28,第二部的改编幅度太大了，人物关系设置很不合理啊，没有代入感，其实如果以小宝和康熙为核心来拍第二部会更好，而不只是硬立一个大反派草草了事，毫无深度可言。第二部经典的地方在于笑点非常密集，有很多不错的细节。而且集结了多位美女，邱淑贞、张敏、李嘉欣、林青霞、袁洁莹、陈德容无不风华绝代，不过当时的林青霞已经有点显老了。最让人印象深刻的是陈近南前后政治立场的改写，既然没有哪个当权者是真正为人民服务的，那么谁能让百姓安居乐业就认他做皇帝啰。
1191,鹿鼎记2：神龙教,YYQ,推荐,2008-04-07,记忆深刻的棒槌。。。星爷版的韦小宝还是挺经典的~（怎么最近才加这个电影...orz）
1192,鹿鼎记2：神龙教,蟹老板,推荐,2009-07-30,对李嘉欣MM的阿珂还是很不感冒的，依旧怀念那些昏黄画面中各种朦胧的美好女子。
1193,鹿鼎记2：神龙教,蜉蝣渡海,还行,2019-10-29,周星驰很像小宝，但是电影本可以不要那么多低俗的东西就很搞笑了。美女如云而且不是小美女，是个个都有自己独特风格并主演过的经典美女，但很明显导演最偏爱邱淑贞，林青霞地位最高，李嘉欣很抢眼但和双儿一起有点打酱油了。现在的制片制度下再也不会有这种巨星云集个个都是角却只为拍个无厘头闹腾的喜剧了。
1194,鹿鼎记2：神龙教,bingzi888,力荐,2011-08-06,仍然是好搞笑啊，喜欢周星驰这种搞笑风格，句子需要细细理解，笑点无处不在，经典！好多MM，都挺不错的，音乐配的也还好啊。很喜欢。
1195,鹿鼎记2：神龙教,Jon,推荐,2009-05-27,美女、金钱、权利、武功，哇靠！都有了
1196,鹿鼎记2：神龙教,磁凝胶,推荐,2009-12-30,最喜欢邱淑贞演的建宁
1197,鹿鼎记2：神龙教,大旗,力荐,2010-01-13,建宁公主好强大。
1198,鹿鼎记2：神龙教,马發財,还行,2011-11-10,租碟时代的成长片
1199,鹿鼎记2：神龙教,缘三,推荐,2013-06-10,李嘉欣的阿珂真是俊俏。韦小宝在王晶的手下已经变得只剩下淫荡和无耻了，有个陈百祥的多隆一唱一和已经足够。但王晶还是习惯性的的需要美女。我生平只有一个长处。。干脆你跟我回去，白天伺候夫人，晚上伺候我。。。王晶的鹿鼎记2真是俗得隐晦~
1200,鹿鼎记2：神龙教,超搞笑级的？？,推荐,2017-08-24,颜值最高的鹿鼎记无疑，最贱的多隆无疑，第二部远不如第一部无疑，金庸喜不喜欢这一部鹿鼎记，有疑
1201,鹿鼎记2：神龙教,大头绿豆,较差,2005-11-07,都忘记说什么的了。
1202,鹿鼎记2：神龙教,Jacky,力荐,2010-06-09,最爱周星星，何况还有林女神。还有一众大牌......现在的港片，再也不可能有这种阵仗了，怀念中
1203,鹿鼎记2：神龙教,骑马的丁丁,推荐,2011-06-20,TV CHANGSHA
1204,鹿鼎记2：神龙教,高压电,还行,2011-03-06,结局不够出彩。
1205,鹿鼎记2：神龙教,Maggie_Z147,推荐,2019-03-20,没有1搞笑，不过非常尊重原著，竟然能将原著的主要剧情和精神凝练在不到两小时的电影里，实在了不起。同时韦小宝和神龙教夫人的cp线竟然在这里比较合理
1206,鹿鼎记2：神龙教,ivvv,推荐,2019-03-29,当时周星驰还没名气，奔着一众配角去的，邱淑贞袁洁莹温兆伦陈德容陈百祥刘松仁秦沛徐锦江张敏林青霞吴君如……穿梭如织的星星，眼花缭乱。最好的时代才有最多的明星，那是港片最好的时代。      　　多年以后偶遇徐锦江，签名签的是鳌拜，大概他也怀念那个时代吧。
1207,鹿鼎记2：神龙教,天生是明星,还行,2008-09-03,比第一部好看点儿。
1208,鹿鼎记2：神龙教,卡卡洛特,还行,2011-01-29,哈哈~~~~~~
1209,鹿鼎记2：神龙教,Panda的阴影,还行,2011-12-22,忘了当初的感觉！
1210,鹿鼎记2：神龙教,Kyrene,力荐,2011-02-05,"""我走先""——第一次知道话再周星驰嘴里可以这么说~还有那句""我对你的景仰有如滔滔江水，连绵不绝..."" : P"
1211,鹿鼎记2：神龙教,明少,力荐,2014-07-08,人物设置，镜头运用，武打设计，台词笑点都很棒，唯一不足这么多东西放在这里太短了，不过瘾。可以说里面每个演员都是在不同时期能够独挡一面的人物。女演员都是我喜欢的类型，要是加上李丽珍、李若彤、红姑的话那就齐了。5星/快播
1212,鹿鼎记2：神龙教,卡塞尔少年,力荐,2010-07-27,喜欢早年的王晶，不是没有理由是他给电影带来了一种概念
1213,鹿鼎记2：神龙教,小手,还行,2006-07-24,很多年前就看过这部电影，但最近重看的时候才知道，原来那句“我对你的崇拜之心如滔滔江水绵延不绝”原来是从这部电影出来的。
1214,鹿鼎记2：神龙教,好运锂,推荐,2010-10-16,马上就有恶搞东方不败了，港片的速度。。。而且连林姐姐77年演的宝玉都不放过，哈哈
1215,鹿鼎记2：神龙教,裸奔的香蕉,力荐,2010-02-13,周氏经典！！！！！！！！！！！！！
1216,鹿鼎记2：神龙教,蒙大拿,推荐,2010-05-26,星仔表演其实不如第一集出彩，但好在林青霞也足够养眼
1217,鹿鼎记2：神龙教,浮生若梦,推荐,2015-09-24,原来之前没看过这部，虽然还是很无厘头很恶搞，但却没把原著改的太离谱，并且导演选角很有慧眼，不管是建宁公主，还是神龙教的龙儿，都十分的点睛，是喜剧里面难得让我看完一遍还想看第二遍的电影。
1218,鹿鼎记2：神龙教,Ss69s,暂未评价,2013-03-04,姑娘们都有男装打扮太太太销魂了，这是以前没有注意到的趣味。建宁好M啊，平日里S太久了，所谓S久必M，M久必S。
1219,鹿鼎记2：神龙教,某J。624,推荐,2012-01-31,林青霞的发型一直接受无能。
1220,鹿鼎记2：神龙教,影子熊揉着眼睛,较差,2013-01-01,除了建宁宣布自己已经怀孕那段已经没什么喜欢的了
1221,鹿鼎记2：神龙教,静下来,还行,2008-08-16,这剧就是来看美人的.大小美人一箩筐
1222,鹿鼎记2：神龙教,江湖遠人,推荐,2012-12-10,KUSOのゴールデンエイジ！
1223,鹿鼎记2：神龙教,蘑菇猫会吐泡,推荐,2013-05-25,很好看，但仍然觉得大部分还是原著的功劳，虽然演员，尤其是青霞姐姐，确实是演技派与偶像派兼具。
1224,鹿鼎记2：神龙教,francisca,还行,2008-02-29,so many gorgeous
1225,鹿鼎记2：神龙教,shalimar520,推荐,2011-01-08,里面还有东方不败的场景呢。。。    
1226,鹿鼎记2：神龙教,流言,推荐,2009-06-16,看了这么多韦小宝，我还是觉得韦小宝就是周星弛
1227,鹿鼎记2：神龙教,辉少,力荐,2009-03-11,星爷风格成型后的作品都是不可多得的喜剧精品!
1228,鹿鼎记2：神龙教,Ivan,推荐,2009-08-20,浓缩版鹿鼎记，完全诠释了原著塑造的经典的韦小宝的形象。人家50集电视都没有演绎好的角色，星爷只要3小时，牛掰！
1229,鹿鼎记2：神龙教,元宝宝,推荐,2018-03-31,多年以后再看还是会开心一笑，星爷的喜剧风格真的是很有意思的。
1230,鹿鼎记2：神龙教,林晨晨,推荐,2013-08-21,【13.8.21，YJ】青霞姐姐出场，给高分没商量。周星驰经典无厘头搞笑剧。
1231,鹿鼎记2：神龙教,azhen,还行,2010-09-07,林青霞，爱死了！！话说星女郎都好惊艳啊
1232,鹿鼎记2：神龙教,惊蛰,较差,2006-05-14,我居然看了那么多周的片子.可我只喜欢<大话西游>
1233,鹿鼎记2：神龙教,Rorschach,力荐,2018-07-17,周星驰喜剧中的大片  与大话西游同为第一梯队  韦小宝形象深入人心  看过它之后你不再知道金庸原本想塑造什么形象了  脑中只有周星星的韦小宝
1234,鹿鼎记2：神龙教,柚子葵,推荐,2013-02-06,那是的香港电影，其实都挺好！特别是武侠的！哪怕是恶搞！
1235,鹿鼎记2：神龙教,Jacques,力荐,2012-07-05,第二集的出彩点在于林青霞的爱巢和六合童子之提线木偶。故事个跨度比第一集要长（包括五个媳妇），线索多了难免照顾不来。而且这一集既然要结尾就难免功夫剧正统的高潮，我倒是喜欢第一集那种非正常的高潮，别有新意。
1236,鹿鼎记2：神龙教,杜边生,暂未评价,2008-05-27,豆瓣推荐还真搞。Y怎么知道这些我都看过?
1237,鹿鼎记2：神龙教,蓝人,还行,2011-02-07,周星驰的早期经典
1238,鹿鼎记2：神龙教,南笙,力荐,2013-05-15,邱淑贞太可爱！！！
1239,鹿鼎记2：神龙教,王筱驴,暂未评价,2008-11-21,其实不喜欢周同学配她，说不出的别扭。
1240,鹿鼎记2：神龙教,cosmic罗宾熊,较差,2012-11-24,"一边吃火锅一边看……还是徐锦江霸气 =""= 第2部有点无聊耶~"
1241,鹿鼎记2：神龙教,Lazy Designer,还行,2011-03-15,嗯嗯，阿珂是大花瓶。BD-Rip 11/03/15
1242,鹿鼎记2：神龙教,暗夜精灵,推荐,2009-07-22,星爷爽啊，看看他身边的老婆们个个美女，相比其他版本小宝周围的一堆歪瓜劣枣，这才是韦爵爷的快乐人生哇。
1243,鹿鼎记2：神龙教,Roentgen,推荐,2010-11-06,粤语真欢乐！“吓得我~腾~腾~震啊~”
1244,鹿鼎记2：神龙教,馋猫太挑剔,推荐,2014-05-01,韦大人！你猜对了！又是我出卖了你！
1245,鹿鼎记2：神龙教,Silo Yo,推荐,2011-09-28,继续搞笑呀 不过这个片子的卡司还真不是一般的强啊
1246,鹿鼎记2：神龙教,林||我们谈什么都像谈死！,还行,2007-10-29,最好的一版伟小宝.
1247,鹿鼎记2：神龙教,不过如此,还行,2009-01-29,"青霞的头啊,太经典了,高的简直雷翻了"
1248,鹿鼎记2：神龙教,[已注销],推荐,2011-06-11,林青霞也来恶搞一下。
1249,鹿鼎记2：神龙教,永恒的天瓶水,还行,2014-01-02,尼玛，为神马有这么多这么多的美女，应该算是星爷电影里美女最多的一部了。但是林青霞就是标标准准的正室范儿啊！
1250,鹿鼎记2：神龙教,白白的小尾巴,力荐,2008-06-29,龙儿的衣服做成的那个茧太强大了= =
1251,鹿鼎记2：神龙教,唔想郁本郁,推荐,2012-01-06,第二部好像比第一部严肃了那么一点点，龙儿真是大姐气场强大
1252,鹿鼎记2：神龙教,張中元,推荐,2012-03-13,好像再怎麼樣也拍不出這種電影了香港 人不對了都 那些女人啊
1253,鹿鼎记2：神龙教,HULIN,还行,2013-09-04,今天重新回看  完全笑不出来了 只觉做作  他这几个老婆好大牌啊
1254,鹿鼎记2：神龙教,陆支羽,还行,2011-02-17,备忘Mark。
1255,鹿鼎记2：神龙教,兔子和小霸王,推荐,2010-08-15,基本上香港电影史上我最喜欢的几个女神齐聚本片。而周星驰将韦小宝的贱演绎的淋漓尽致。
1256,鹿鼎记2：神龙教,笔三,推荐,2011-08-22,“六合童子吃屎”，原来出自这里
1257,鹿鼎记2：神龙教,泰式電影請上菜,推荐,2011-05-28,建寧也太三八了吧!!不過這大清龍脈也太不怎樣了吧!!
1258,鹿鼎记2：神龙教,WillRious,力荐,2018-09-26,大人聪明盖世，属下对大人的敬仰，有如滔滔江水，连绵不绝，又有如黄河泛滥，一发不可收拾。英雄的杀戮、百姓的目的都是国泰民安，管他谁作皇帝。有钱有宝藏，还有5个老婆，真的人生大赢家，所有男人的梦想，没有例外。御姐范的龙儿变成萌妹子，建宁都让小宝搞的六亲不认，三妻四妾还能和平相处，姐妹相称，也能说明小宝真的招人喜欢，重情重义。
1259,鹿鼎记2：神龙教,451½°F™,很差,2012-12-31,更加变本加厉得堆砌韦小宝（其实是周星驰本人）的「神圣光环」，粉丝们往往只沉溺于周氏喜剧的「无厘头」，却忽视其中难以掩饰、自始至终毫无节制的「至高权力」，这也是最令人不适的。
1260,鹿鼎记2：神龙教,路西法尔,较差,2013-06-27,这部原创更多，韦爵爷成了绝世高手——记得《仙剑》火了之后，国产武侠RPG遍地红的年代，有一版《鹿鼎记》的隐藏结局就是这样的。
1261,鹿鼎记2：神龙教,周鱼,较差,2008-12-05,大放无收 额。。。
1262,鹿鼎记2：神龙教,康斯坦丁,推荐,2010-12-23,陈百祥太逗了吧。。。还有那个师太。。。
1263,鹿鼎记2：神龙教,苏城,推荐,2010-10-04,韦爵爷估计是天下所有男人的梦想了吧！101005
1264,鹿鼎记2：神龙教,梅林,推荐,2014-01-14,王晶和周星驰恶搞无极限
1265,鹿鼎记2：神龙教,哦,还行,2011-02-13,很好玩的片子，青霞姐那高耸如云的发髻啊。。。
1266,鹿鼎记2：神龙教,静止的流水,还行,2011-10-03,正如片尾曲所唱的那样，开心就好，管它什么内容。这片就是为了开心的，可惜它的意义仅止于开心吧。
1267,鹿鼎记2：神龙教,我是鬼鬼,还行,2016-09-21,有些黄色玩笑开得太过火，会令身为女性的我看的时候非常不舒服，这是我最不喜欢王晶的一点。
1268,鹿鼎记2：神龙教,找凹的凸,推荐,2010-01-01,星爷的要支持，很好笑。
1269,鹿鼎记2：神龙教,牧天子,力荐,2010-02-23,小时候全家最喜欢看的电影
1270,鹿鼎记2：神龙教,阿德,暂未评价,2008-06-05,弄的像选美大会 张的多少有点姿色的都被星爷划拉到怀里了~~多少色狼艳羡啊
1271,鹿鼎记2：神龙教,依然饭特稀,力荐,2012-10-26,第一部令人眼前一亮，第二部依然没有让人失望。《鹿鼎记》系列是王晶最好的电影，电影巧妙地将原著小说缩编和改编。虽然难免略显肤浅，但是也令众人夸张的表演十足搞笑，卖友求荣的多隆尤其出彩。假太后、神龙教教主、教主夫人合三为一，郑克塽与吴应熊合二为一，韦小宝也成了武功盖世的东方不败。
1272,鹿鼎记2：神龙教,阿暖,推荐,2011-08-04,其实以前我还挺喜欢韦小宝的，看书的时候也觉得双儿这么乖真好，小孩子就是容易被洗脑= =
1273,鹿鼎记2：神龙教,juliette,还行,2012-12-17,断断续续看完了，感觉老港片除了气质美女演员，还是不能很吸引我。。。
1274,鹿鼎记2：神龙教,安藤朝野,推荐,2012-03-18,只有五个老婆。。不过真是绝色啊，又是林青霞又是李嘉欣，逆袭之不能超越的神典。
1275,鹿鼎记2：神龙教,-VeronicaWooo-,推荐,2011-04-04,经典的那个配音！@Home
1276,鹿鼎记2：神龙教,安狄,还行,2011-05-27,感觉与一有明显的质量断层。
1277,鹿鼎记2：神龙教,雪,推荐,2017-09-02,“小宝，大家都是聪明人。什么大义凛然的话都是说给外人的。”——陈近南真是厉害，连小宝都能骗
1278,鹿鼎记2：神龙教,Serena 1.0,较差,2010-08-31,现在看来就是恶搞粗俗的作品了~~~不过这才是先驱。有林青霞的电影质量高了一大节。还有没有交代韦小宝第一个大老婆小金鱼，那个才是最感人的爱情吧~~~不过我是看张卫健版的来对比，没有看过原著，不知道是不是真的有这个角色。吴三桂和阿珂和公主之间地址的变化很奇怪。李嘉欣始终是花瓶。
1279,鹿鼎记2：神龙教,龚星,推荐,2012-04-14,看了N多次了，青霞姐姐的发型自蜀山后再一次完全吸引了我的眼球……
1280,鹿鼎记2：神龙教,子皿与舟,推荐,2011-06-04,最记得林青霞和周星驰从一个好大的茧里面出来。
1281,鹿鼎记2：神龙教,这个名字让用么,力荐,2013-01-30,年代久远，晚上重温的一遍基本上跟重新看一遍差不多。对原著做了较大的改动，那个时期星爷夸张的动作表情还是一如既往的搞笑。觉得现如今的喜剧或者是搞笑片都有着票房压力，不如无厘头的“为了乐而乐”来的直接，虽然片子内容有限，但能都得观众捧腹大笑，又有何不可呢？
1282,鹿鼎记2：神龙教,Lonely,推荐,2018-01-23,8.0/10 分。2018.01.23，重看。依然非常搞笑，不过没有了第一部的那种初次惊艳感。。。陈百祥的多隆依然超级淫荡下贱搞笑。。。
1283,鹿鼎记2：神龙教,Lan~die,推荐,2008-05-08,周星驰几部百看不厌的片子之一。
1284,鹿鼎记2：神龙教,莱尼圆,推荐,2009-09-06,卡司强大，这部神龙教加重了韦小宝的感情戏，得林青霞、李嘉欣加入，媳妇阵容豪华和美艳程度绝无仅有，可谓福利满满。林青霞的龙儿沿袭了东方不败的经典中性造型，奇特的一条柴发型，从老谋深算到小鸟依人，转变莫名，但演绎自如，交合戏唯美飘渺。最搞笑桥段是陈百祥单闯平西王府高喊口号“反清复明”。污点极多，神药“奇淫合欢散”“我爱一条柴”。
1285,鹿鼎记2：神龙教,喵小有为来欧欧,推荐,2013-09-11,虎皮帽经典极了，还有那个陈百祥演的多隆，真是太搞了，最后林青霞的全裸露背也太性感了~~~
1286,鹿鼎记2：神龙教,搪昂昂昂瓷,推荐,2020-06-12,可能不像第一部只有鳌拜一个大BOSS，这一部从吴三桂打到冯锡范，两个中BOSS还没六合童子令人印象深刻，总觉得欠点儿意思。另一条收老婆的线也是顺风顺水，人一多又纷纷落为龙套，话都说不上几句，自然比不上之前几方权斗的精彩。最后还让韦小宝得到了那么多人的功力，一下子从贫嘴小贱货变成真·武林高手，虽然每个人的招都用一下看起来很爽，但是那咋斗智斗勇的乐趣也所剩无几。
1287,鹿鼎记2：神龙教,一抹阳光阳光,推荐,2018-10-26,很好的经典系列，值得再看。
1288,鹿鼎记2：神龙教,妖,推荐,2019-03-20,当一个搞笑向的人物拥有了内涵和一些堪破世事的觉悟却不改以往的嬉笑的时候，故事就变得精彩了，人物就变得立体而鲜明了。韦小宝最后面对大清风水壁的想法，已经超出了陈近南和皇帝的境界。为国为民，我觉得真正的仁人志士都是为民的。多隆这个角色也立体了很多，他的溜须拍马变得更加势利，他和韦小宝之间的关系也变得微妙而发人深思。缺点则是人设方面或者说是剧情设置方面，韦小宝这个形象在电影中表现得有些带有意淫和自我满足的味道。
1289,鹿鼎记2：神龙教,青鱼,还行,2019-02-16,很多人都说什么林青霞要是换成张敏就好了，我承认两人都很棒，林青霞的东方不败教主形象太深入人心了，张敏那么英气也很适合教主，但是老实说，林青霞更适合那么一点点。  李嘉欣的阿珂，为什么戏那么少！公主换成公主装扮一点都不好看，还是第一部里可爱。  龙婆一闪而过地客串神龙教教主，也很给力啊！  虽然，那么多喜欢的女神，可是剧情并不好看！  虽然金庸大大的书没看过几本，但是影视剧基本上都看过，最不喜欢的就是鹿鼎记，所有版本加起来，都没有认认真真看过一集，果然，不太好看。  
1290,鹿鼎记2：神龙教,髦髦,推荐,2011-12-22,★★★★ 日头服待夫人夜晚服待我
1291,鹿鼎记2：神龙教,请勿飞扬,力荐,2011-03-02,作为一个只看过原著1/20的人来说，此版韦小宝是给人印象最深刻、最鲜活的一个
1292,鹿鼎记2：神龙教,塔可夫斯基的镜子,还行,2008-02-27,Royal Tramp?  
1293,鹿鼎记2：神龙教,laneddy,推荐,2007-10-14,俗点不要紧 要紧的是好看
1294,鹿鼎记2：神龙教,软糖莫爷,还行,2015-03-14,“打在你身，痛在我心”，轻轻摸了把脸；温绍伦娇羞白净小皇帝，“你叫咩名？”“温绍伦。”“翻去诛你九族。” “韦小宝已经被朕亲手揸死”，“谢主龙揸”，“朕同你永远都系好朋友”；周星星东方不败装美翻
