,film,user,star,time,content
19,山村老尸,魚禾,还行,2010-10-04,所有的鬼都是因为一个字“怨” 这部片子只能说一般般 那个老头死掉 觉得很心疼 最看不得老头死了 楚人美这个名字好听
20,花田喜事,Mathilda,推荐,2008-09-28,在山里和苗家爷爷一起又看了一次 我在笑 爷爷在一旁抽旱烟
21,花田喜事,数人的绵羊,推荐,2007-11-19,"笑死我了,即便是有些粗陋~"
22,花田喜事,一寸吻感,推荐,2008-03-12,很好笑  
23,花田喜事,pabu,还行,2012-10-13,关之琳好萌 哥哥好靓仔
24,花田喜事,文帙三,推荐,2017-12-28,看过很多遍，每次都觉得好笑，挖掘出新笑点。
25,花田喜事,西77西,力荐,2012-08-10,不用很用心地看，却能笑，这样就很好了
26,花田喜事,爱智慧,还行,2010-02-21,很搞笑~
27,花田喜事,❀ 兔小超人,力荐,2008-09-22,下辈子都忘不了这片子。差点就笑到岔气了。
28,花田喜事,van,推荐,2011-08-15,2008
29,花田喜事,nadja,力荐,2006-03-18,还想再看看
30,花田喜事,Amber,推荐,2010-07-06,怀旧啊～ 也是看了好几遍了～
31,花田喜事,❤momoko：気持ちイイ～❤,还行,2010-07-11,2逼死了
32,花田喜事,东方既白,推荐,2012-06-01,哥哥与大眼哥哥哦 同哥哥你三生有幸 求哥哥你成为情人   / 好多包袱
33,花田喜事,涂家公子叶十七,力荐,2011-05-17,这个我也好喜欢
34,花田喜事,江小豆,推荐,2011-11-27,哥哥的颜真美好啊  哟西  今天再看家有喜事吧 哈哈
35,花田喜事,尾生,推荐,2012-02-10,港片的美好时代，虽然无厘头加恶搞，不过笑料确实很多，不想现在的贺岁片、
36,花田喜事,ccqb,还行,2011-08-08,都有一个完美的ending。
37,花田喜事,Tomato's Secret,力荐,2010-01-19,经典的最爱
38,花田喜事,幼稚园生,推荐,2011-12-21,好玩儿 马头“奔驰”“劳斯莱斯”
39,花田喜事,Meow_Tuttie,较差,2014-03-27,烈焰红唇！现在看来无厘头而且脑残，这么多年了还能博人一笑，实在难得，张国荣的女装扮相真美。
40,飞鹰计划,路过蜻蜓,推荐,2013-09-28,略扯，很欢乐。
41,飞鹰计划,v v,推荐,2011-06-23,扯浴巾那段很好笑，很有成龙动作喜剧的风格
42,飞鹰计划,SUOLON,还行,2017-05-07,虽然是很多年前的电影但是真的很精彩。
43,飞鹰计划,Diva Tequila,力荐,2011-03-19,这个第一次看的时候逗死我了
44,飞鹰计划,xiaohanyu,还行,2012-09-07,还不错啦，诸多笑点，“口渴也会引起性冲动？”，算是成龙早年的片子中上乘的作品。
45,飞鹰计划,Picklete,还行,2017-03-18,6.9 80年代末90年代初“成龙制造”的一部分，继续集搞笑和无厘头于一身。动作设计极具创意，如果大boss的人设稍微有深度一点就更好了。西班牙街头追逐、酒店枪战的那几段最为深刻。在马德里取景，静看接近30年前的马约尔广场，也是挺有趣的。
46,飞鹰计划,贾志国,推荐,2012-05-19,吹脸那段现在还记着
47,飞鹰计划,U 兔,推荐,2009-02-10,挺喜欢的一个成龙片儿～
48,飞鹰计划,zrrxiaodou,还行,2012-06-07,好看，怀念那个年代。
49,飞鹰计划,[已注销],推荐,2013-01-19,看了十二生肖再看这个，哎成龙老了
50,飞鹰计划,阿笨,推荐,2011-10-10,小时候看的，很搞笑也很喜欢，很喜欢这时期的香港电影
51,飞鹰计划,RiverS,暂未评价,2009-04-28,这个我看得晚了，依然的续集电影
52,飞鹰计划,梨！神经被拔~,还行,2009-08-16,看不懂了...这么多人给好评?
53,飞鹰计划,夜丫儿,推荐,2009-12-17,经典的成龙风格
54,飞鹰计划,柒°晴,还行,2018-11-29,7.0成龙的老片。郑裕玲很有味道。找黄金的梗虽老，不过看看也还好，但笑点不突出。
55,飞鹰计划,feelzero,还行,2019-01-12,"On his most dangerous mission ever, the world's toughest secret agent isn't going in alone."
56,飞鹰计划,taming,推荐,2014-10-16,成龙作品里面最喜欢的！没有之一。。场面够大~话说郑裕玲大尺度露臀！好丰腴！有看头。。。臭口龙还是管好自己的嘴安安心心拍电影吧
